R.br.,Latituda,Longituda,Kategorija saobraćajnice,Datum nastanka saobraćajne nezgode,Vrijeme nastanka saobraćajne nezgode,Vremenske prilike,Period dana,Stanje kolovoza,Broj poginulih osoba,Broj teško povrijeđenih osoba,Broj lakše povrijeđenih osoba,"Vrsta, tip saobraćajne nezgode",Područje,Tip puta,Horizontalna geometrija,Vertikalna geometrija,Tip raskrsnice,Tip prelaza,Pješačka površina,Rasvjeta,Broj povrijeđenih učesnika 30 dana,Broj smrtno stradalih učesnika nakon 30 dana,Ukupno povrijeđenih učesnika,Ukupno smrtno stradalih učesnika,Putnički automobil,Pješak,Romobil,Bicikl,Motocikl,Lako teretno vozilo,Teško teretno vozilo,Autobus,Traktor,Ostalo
58,43.840392,18.321088,Magistralna cesta,01/04/2022,17:00:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
59,43.840392,18.321088,Magistralna cesta,31/07/2022,14:00:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
60,43.843802,18.33235,Magistralna cesta,11/04/2022,07:40:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,3,,,,,,,,,
61,43.841884,18.277206,Regionalna cesta,06/05/2022,08:20:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom preticanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
62,43.8283,18.314621,Regionalna cesta,27/01/2022,18:30:00,Kiša,Sumrak,Mokar,0,0,1,Udar prednjim dijelom vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,T-raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
63,43.819935,18.310496,Regionalna cesta,14/05/2022,17:20:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,T-raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1,,1,,,,,,,
64,43.830599,18.31087,Regionalna cesta,29/06/2022,17:15:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Sa dvije kolovozne trake,Pravac,Ne,T-raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
65,43.795551,18.321804,Regionalna cesta,11/07/2022,08:30:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom obilaženja,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
66,43.79617,18.32012,Regionalna cesta,11/07/2022,15:20:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,T-raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
67,43.819935,18.310496,Regionalna cesta,17/07/2022,22:05:00,Vedro,Noć,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,T-raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
